decay_rate,bind_coeff,cycle_coeff,varA,varB
0.8,0.05,0.2,0.018199467891000003,0.0012276626160000002
0.8,0.05,0.5,0.019090834924,0.001363656616
0.8,0.05,0.8,0.018310758464,0.0013433514960000002
0.8,0.1,0.2,0.017207145896,0.001519524051
0.8,0.1,0.5,0.022942553091,0.0024817272839999997
0.8,0.1,0.8,0.04035621060399999,0.0042286340589999995
0.8,0.2,0.2,0.017381577384,0.002407265124
0.8,0.2,0.5,0.018396767904,0.0030618278110000003
0.8,0.2,0.8,0.0025995629390000003,0.0016166691960000001
0.9,0.05,0.2,0.04894712689900001,0.005925404291
0.9,0.05,0.5,0.039214539491,0.001222536
0.9,0.05,0.8,0.147506725904,0.005465139275
0.9,0.1,0.2,0.051972339916000004,0.0072772046
0.9,0.1,0.5,0.042086818500000005,0.005326457
0.9,0.1,0.8,0.09862731247499999,0.013714438211
0.9,0.2,0.2,0.061009424244,0.020226696835999997
0.9,0.2,0.5,0.846105774939,0.2798360877
0.9,0.2,0.8,2.059978270811,0.45015017893899995
0.95,0.05,0.2,0.0019401302989999999,0.004844861024
0.95,0.05,0.5,0.128256922075,0.007487861819
0.95,0.05,0.8,0.149678185376,0.009419992275
0.95,0.1,0.2,0.158482513779,0.038893303875
0.95,0.1,0.5,0.008754041676,0.003100435944
0.95,0.1,0.8,0.146589310131,0.008954775979
0.95,0.2,0.2,0.000946483684,0.0019584538639999998
0.95,0.2,0.5,0.16035380934400004,0.042582036724
0.95,0.2,0.8,0.076335375011,0.014691181410999999
